gid,peripherei,nomarchia,id,ip,lat,lon,perigrafh,dhmos
1,Αττικής,Αθηνών,170.000000000000000,10.2.84.1,38.063581229999997,23.760707320000002,Κεντρική πλατεία δήμου - Λύκειο δήμου,Δ.Μεταμορφώσεως
2,Αττικής,Αθηνών,147.000000000000000,10.2.28.1,38.017888999999997,23.769950999999999,Πλατεία Ελευθερίας,Δ.Νέου Ψυχικού
3,Αττικής,Αθηνών,15.000000000000000,10.4.4.1,38.009837370000000,23.783834250000002,Μεγάλο Πάρκο Παπάγου,Δ.Παπάγου
4,Αττικής,Αθηνών,1012.000000000000000,10.6.36.1,37.972214999999998,23.717251000000001,ΧΑΡΟΚΟΠΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,Χαροκόπειο
5,Αττικής,Ανατολικής Αττικής,1143.000000000000000,10.6.188.1,37.838123000000003,23.929466999999999,Πλατεία ΕυαγγελιστρίαςΣ,Δ.Καλυβιών Αττικής
6,Αττικής,Ανατολικής Αττικής,50.000000000000000,10.1.132.1,38.142029590000000,23.858617559999999,ΠΛΑΤΕΙΑ ΔΗΜΟΚΡΑΤΙΑΣ-ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ ΑΓΙΟΥ ΣΤΕΦΑΝΟΥ,Δ.Αγίου Στεφάνου
7,Αττικής,Ανατολικής Αττικής,67.000000000000000,10.1.12.1,37.840405930000003,23.766562449999999,ΠΛΑΤΕΙΑ ΙΜΙΩΝ-ΘΕΣΗ: ΕΠΙ ΤΗΣ Οδ. ΒΑΣΙΛΕΩΣ ΠΑΥΛΟΥ 72-84,Δ.Βούλας
8,Αττικής,Ανατολικής Αττικής,325.000000000000000,10.3.236.1,38.036536529999999,23.543078110000000,Κτίριο του Ο.Λ. Ελευσίνας. Παραλιακή ζώνη-πάρκο,Δ.Ελευσίνος
9,Αττικής,Ανατολικής Αττικής,264.000000000000000,10.3.100.1,37.901228390000000,23.873472799999998,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ ΠΟΛΗΣ-ΠΝΕΥΜΑΤΙΚΟ ΚΕΝΤΡΟ- ΔΗΜΟΤΙΚΗ ΒΙΒΛΙΟΘΗΚΗ,Δ.Κρωπίας
10,Αττικής,Ανατολικής Αττικής,263.000000000000000,10.3.92.1,37.712292230000003,24.055093599999999,ΛΙΜΕΝΙΚΗ ΖΩΝΗ ΛΑΥΡΙΟΥ - ΔΗΜΑΡΧΕΙΟ ΛΑΥΡΕΩΤΙΚΗΣ,Δ.Λαυρεωτικής
11,Αττικής,Ανατολικής Αττικής,301.000000000000000,10.3.188.1,37.953750190000001,23.853082409999999,ΠΛΑΤΕΙΑ ΖΩΟΔΟΧΟΥ ΠΗΓΗΣ-ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ ΠΑΙΑΝΙΑΣ,Δ.Παιανίας
12,Αττικής,Ανατολικής Αττικής,268.000000000000000,10.4.28.1,38.025630470000003,24.011706499999999,"ΕΠΙΒΑΤΙΚΟΣ ΛΙΜΕΝΑΣ, ΛΙΜΑΝΙ ΡΑΦΗΝΑΣ",Δ.Ραφήνας
13,Αττικής,Ανατολικής Αττικής,320.000000000000000,10.3.220.1,38.129513070000002,23.760582270000000,ΚΕΝΤΡΟ ΝΕΟΤΗΤΟΣ ΔΗΜΟΥ ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ-(ΜΕΓΑΛΟΥ ΑΛΕΞΑΝΔΡΟΥ και ΑΡΙΣΤΟΤΕΛΟΥΣ Ο.Τ. 84),Κ.Δ.Θρακομακεδόνων
14,Αττικής,Ανατολικής Αττικής,1024.000000000000000,10.7.228.1,37.718190999999997,23.945924999999999,Πλατεία,Κ.Παλαιάς Φωκαίας
15,Αττικής,Δυτικής Αττικής,1112.000000000000000,10.7.116.1,37.973747000000003,23.363140000000001,Λιμάνι-Παραλία,Δ.Μεγαρέων
16,Αττικής,Πειραιώς,1062.000000000000000,10.6.108.1,37.693354999999997,23.449341000000000,Παραλιακή Ζώνη - Παραλία Πέρδικα,Δ.Αίγινας
17,Αττικής,Πειραιώς,303.000000000000000,10.3.196.1,37.353644009999996,23.471106769999999,ΛΙΜΕΝΑΣ ΥΔΡΑΣ,Δ.Ύδρας
18,Αττικής,Πειραιώς,1010.000000000000000,10.7.48.1,37.503188999999999,23.460101999999999,Λιμάνι-Παραλία,Δ.Πόρου
19,Ανατ. Μακεδονίας και Θράκης,Δράμας,1019.000000000000000,10.6.44.1,41.165866000000001,24.308246000000000,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ ΠΛΑΤΑΝΙΑΣ,Δ.Νικηφόρου
20,Ανατ. Μακεδονίας και Θράκης,Δράμας,129.000000000000000,10.2.12.1,41.147602399999997,24.148736180000000,ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ-ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ ΔΡΑΜΑΣ,Δ.Δράμας
21,Ανατ. Μακεδονίας και Θράκης,Δράμας,127.000000000000000,10.2.4.1,41.343971000000003,23.866589999999999,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,Δ.Κάτω Νευροκοπίου
22,Ανατ. Μακεδονίας και Θράκης,Δράμας,235.000000000000000,10.2.252.1,41.059635810000003,24.049461500000000,ΠΛΑΤΕΙΑ και ΣΙΔΗΡΟΔΡΟΜΙΚΟΣ ΣΤΑΘΜΟΣ,Δ.Φωτολίβους
